site,elevation_m,rho_r,f,k,ci_profile,makespan_h,IT_energy_kWh,facility_energy_kWh,run_PUE,carbon_kg,carbon_t
Xining,2266.0,0.7998752790424368,0.6,1,qinghai,3.8889,1109.33,1297.43,1.16956,159.6,0.1596
Xining,2266.0,0.7998752790424368,0.6,1,coal,3.8889,1109.33,1297.43,1.16956,943.4,0.9434
Xining,2266.0,0.7998752790424368,0.6,2,qinghai,3.8333,1210.31,1415.53,1.16956,174.2,0.1742
Xining,2266.0,0.7998752790424368,0.6,2,coal,3.8333,1210.31,1415.53,1.16956,1029.1,1.0291
Xining,2266.0,0.7998752790424368,0.6,4,qinghai,3.7431,1254.4,1467.1,1.16956,180.5,0.1805
Xining,2266.0,0.7998752790424368,0.6,4,coal,3.7431,1254.4,1467.1,1.16956,1066.4,1.0664
Xining,2266.0,0.7998752790424368,0.6,8,qinghai,3.6823,1274.84,1491.01,1.16956,183.4,0.1834
Xining,2266.0,0.7998752790424368,0.6,8,coal,3.6823,1274.84,1491.01,1.16956,1083.6,1.0836
Xining,2266.0,0.7998752790424368,0.6,16,qinghai,3.648,1284.67,1502.49,1.16956,184.8,0.1848
Xining,2266.0,0.7998752790424368,0.6,16,coal,3.648,1284.67,1502.49,1.16956,1091.8,1.0918
Xining,2266.0,0.7998752790424368,0.6,32,qinghai,3.6299,1289.48,1508.12,1.16956,185.5,0.1855
Xining,2266.0,0.7998752790424368,0.6,32,coal,3.6299,1289.48,1508.12,1.16956,1095.9,1.0959
Xining,2266.0,0.7998752790424368,0.6,64,qinghai,3.6206,1291.86,1510.9,1.16956,185.8,0.1858
Xining,2266.0,0.7998752790424368,0.6,64,coal,3.6206,1291.86,1510.9,1.16956,1097.8,1.0978
Xining,2266.0,0.7998752790424368,0.8,1,qinghai,3.8889,1109.33,1274.64,1.14901,156.8,0.1568
Xining,2266.0,0.7998752790424368,0.8,1,coal,3.8889,1109.33,1274.64,1.14901,926.8,0.9268
Xining,2266.0,0.7998752790424368,0.8,2,qinghai,3.8333,1210.31,1390.66,1.14901,171.1,0.1711
Xining,2266.0,0.7998752790424368,0.8,2,coal,3.8333,1210.31,1390.66,1.14901,1011.1,1.0111
Xining,2266.0,0.7998752790424368,0.8,4,qinghai,3.7431,1254.4,1441.32,1.14901,177.3,0.1773
Xining,2266.0,0.7998752790424368,0.8,4,coal,3.7431,1254.4,1441.32,1.14901,1047.6,1.0476
Xining,2266.0,0.7998752790424368,0.8,8,qinghai,3.6823,1274.84,1464.81,1.14901,180.2,0.1802
Xining,2266.0,0.7998752790424368,0.8,8,coal,3.6823,1274.84,1464.81,1.14901,1064.5,1.0645
Xining,2266.0,0.7998752790424368,0.8,16,qinghai,3.648,1284.67,1476.1,1.14901,181.6,0.1816
Xining,2266.0,0.7998752790424368,0.8,16,coal,3.648,1284.67,1476.1,1.14901,1072.6,1.0726
Xining,2266.0,0.7998752790424368,0.8,32,qinghai,3.6299,1289.48,1481.63,1.14901,182.2,0.1822
Xining,2266.0,0.7998752790424368,0.8,32,coal,3.6299,1289.48,1481.63,1.14901,1076.6,1.0766
Xining,2266.0,0.7998752790424368,0.8,64,qinghai,3.6206,1291.86,1484.36,1.14901,182.6,0.1826
Xining,2266.0,0.7998752790424368,0.8,64,coal,3.6206,1291.86,1484.36,1.14901,1078.6,1.0786
Xining,2266.0,0.7998752790424368,0.9,1,qinghai,3.8889,1109.33,1263.24,1.13874,155.4,0.1554
Xining,2266.0,0.7998752790424368,0.9,1,coal,3.8889,1109.33,1263.24,1.13874,918.5,0.9185
Xining,2266.0,0.7998752790424368,0.9,2,qinghai,3.8333,1210.31,1378.23,1.13874,169.6,0.1696
Xining,2266.0,0.7998752790424368,0.9,2,coal,3.8333,1210.31,1378.23,1.13874,1002.0,1.002
Xining,2266.0,0.7998752790424368,0.9,4,qinghai,3.7431,1254.4,1428.43,1.13874,175.7,0.1757
Xining,2266.0,0.7998752790424368,0.9,4,coal,3.7431,1254.4,1428.43,1.13874,1038.3,1.0383
Xining,2266.0,0.7998752790424368,0.9,8,qinghai,3.6823,1274.84,1451.71,1.13874,178.6,0.1786
Xining,2266.0,0.7998752790424368,0.9,8,coal,3.6823,1274.84,1451.71,1.13874,1055.0,1.055
Xining,2266.0,0.7998752790424368,0.9,16,qinghai,3.648,1284.67,1462.9,1.13874,179.9,0.1799
